"time in sec since January 1, 1970, 00:00:00 (UTC)",heading (degrees),roll (degrees),pitch (degrees),Gx (m/s2),Gy (m/s2),Gz (m/s2),ax (m/s2),ay (m/s2),az (m/s2),gyroscope x (deg/sec),gyroscope y (deg/sec),gyroscope z (deg/sec),magnetometer x (micro-Teslas),magnetometer y (micro-Teslas),magnetometer z (micro-Teslas),temperature celcius,quaternion x,quaternion y,quaternion z,quaternion w,heading (deg),roll (deg),pitch (deg)
1558687093.822604,0.0,-0.5,5.875,-0.08,-1.0,9.75,0.0,0.04,-0.15,-0.0033333333333333335,0.0011111111111111111,0.0,-14.1875,-8.5625,-50.875,34,-0.0513916015625,0.00439453125,0.0,0.9986572265625,0.0,-0.5,5.875
1558687094.337757,0.0,-0.5,5.875,-0.08,-1.0,9.75,-0.01,0.02,-0.17,-0.0022222222222222222,0.0044444444444444444,0.0011111111111111111,-15.25,-7.5,-48.5,34,-0.0513916015625,0.00439453125,0.0,0.9986572265625,0.0,-0.5,5.875
1558687094.859932,0.0,-0.5,5.875,-0.08,-1.0,9.75,0.0,0.02,-0.15,-0.0011111111111111111,0.0,-0.0033333333333333335,-14.1875,-7.5,-49.25,34,-0.0513916015625,0.00439453125,0.0,0.9986572265625,0.0,-0.5,5.875
1558687095.378646,0.0,-0.5,5.875,-0.08,-1.0,9.75,-0.03,0.01,-0.15,0.0,-0.0033333333333333335,0.0011111111111111111,-14.5625,-7.875,-49.25,34,-0.0513916015625,0.00439453125,0.0,0.9986572265625,0.0,-0.5,5.875
1558687095.896635,0.0,-0.5,5.875,-0.08,-1.0,9.75,0.0,0.0,-0.15,0.0022222222222222222,0.0022222222222222222,0.0022222222222222222,-14.5625,-8.25,-48.5,34,-0.0513916015625,0.00439453125,0.0,0.9986572265625,0.0,-0.5,5.875
1558687096.418938,0.0,-0.4375,5.875,-0.07,-1.0,9.75,0.08,-0.05,-0.18,0.01,0.0077777777777777776,-0.017777777777777778,-8.875,-5.0,-27.6875,34,-0.05133056640625,0.00396728515625,-0.0001220703125,0.9986572265625,0.0,-0.4375,5.875
1558687096.938615,355.4375,-7.4375,33.125,-1.4,-5.16,8.21,-0.02,2.35,-2.53,1.9066666666666667,1.3277777777777777,0.5033333333333333,-6.6875,18.75,-37.6875,34,-0.28594970703125,0.05645751953125,0.03802490234375,0.955810546875,355.4375,-7.4375,33.125
1558687097.459027,357.875,8.5625,-53.0,1.69,7.78,5.71,-2.59,-1.4,-0.85,0.2388888888888889,-2.82,-0.4166666666666667,-14.25,-38.5625,-23.0,34,0.44512939453125,-0.0863037109375,0.00885009765625,0.8912353515625,357.875,8.5625,-53.0
1558687097.984036,30.5625,17.5,36.5,2.64,-5.99,7.29,-1.03,2.55,-1.12,-1.3766666666666667,-0.7711111111111111,3.9455555555555555,-22.0625,2.5625,-40.1875,34,-0.333740234375,-0.0748291015625,-0.24810791015625,0.9063720703125,30.5625,17.5,36.5
1558687098.503453,86.9375,1.6875,-16.6875,0.87,3.07,9.27,-1.38,-1.12,1.46,1.4266666666666667,-3.4755555555555557,-0.41,-12.5,-9.375,-44.25,34,0.089111328125,-0.127197265625,-0.68267822265625,0.7139892578125,86.9375,1.6875,-16.6875
