"time in sec since January 1, 1970, 00:00:00 (UTC)",heading (degrees),roll (degrees),pitch (degrees),Gx (m/s2),Gy (m/s2),Gz (m/s2),ax (m/s2),ay (m/s2),az (m/s2),gyroscope x (deg/sec),gyroscope y (deg/sec),gyroscope z (deg/sec),magnetometer x (micro-Teslas),magnetometer y (micro-Teslas),magnetometer z (micro-Teslas),temperature celcius,quaternion x,quaternion y,quaternion z,quaternion w,heading (deg),roll (deg),pitch (deg)
1563146664.691981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011111111111111111,0.0022222222222222222,0.0,-15.25,-7.0625,-48.5625,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1563146664.731419,0.0,0.0,0.0,-0.06,-0.97,9.75,-0.01,0.0,-0.19,-0.0011111111111111111,-0.0011111111111111111,-0.0022222222222222222,-15.25,-7.0625,-48.5625,28,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1563146664.769907,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.02,0.02,-0.22,-0.0033333333333333335,0.0011111111111111111,0.0011111111111111111,-14.875,-6.0,-49.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146664.812036,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.01,-0.18,-0.0033333333333333335,0.0022222222222222222,0.0011111111111111111,-14.875,-6.0,-49.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146664.854002,0.0,-0.375,5.6875,-0.06,-0.97,9.75,-0.01,0.02,-0.19,-0.0033333333333333335,0.0011111111111111111,0.0022222222222222222,-13.75,-5.5625,-48.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146664.900246,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.01,-0.18,-0.0022222222222222222,0.0044444444444444444,0.0,-14.0625,-5.5625,-45.875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146664.93903,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.03,0.01,-0.18,0.0,0.0,0.0022222222222222222,-14.0625,-4.875,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146664.978942,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.02,0.01,-0.15,-0.0033333333333333335,0.0011111111111111111,-0.0022222222222222222,-14.875,-5.25,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.018975,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.16,-0.0022222222222222222,0.005555555555555556,-0.0022222222222222222,-14.875,-5.5625,-47.375,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.061044,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.04,-0.16,-0.0033333333333333335,0.0033333333333333335,0.0011111111111111111,-14.875,-5.5625,-47.375,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.104913,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.13,-0.0022222222222222222,0.0022222222222222222,0.0,-13.375,-6.375,-45.5,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.14532,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.04,-0.17,0.0,0.0044444444444444444,0.0033333333333333335,-14.5,-5.25,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.183332,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.17,-0.0033333333333333335,0.0022222222222222222,0.0011111111111111111,-14.0625,-5.25,-45.875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.223668,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.01,-0.17,-0.0022222222222222222,0.0,0.0011111111111111111,-14.0625,-5.25,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.270176,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.0,-0.17,-0.0033333333333333335,0.0011111111111111111,0.0,-14.0625,-6.0,-47.375,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.313811,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.16,-0.0033333333333333335,0.0022222222222222222,0.0,-14.0625,-6.0,-47.375,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.36056,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.15,0.0,0.0011111111111111111,-0.0022222222222222222,-14.5,-5.5625,-45.875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.403014,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.15,0.0022222222222222222,-0.0011111111111111111,-0.0011111111111111111,-13.75,-4.5,-45.5,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.444529,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.02,-0.15,0.0,0.0022222222222222222,-0.0011111111111111111,-13.75,-5.25,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.486677,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.18,0.0011111111111111111,0.0022222222222222222,-0.0022222222222222222,-14.0625,-5.25,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.524683,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.16,-0.0011111111111111111,0.0022222222222222222,0.0,-15.25,-5.25,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.571369,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.02,-0.16,0.0011111111111111111,0.0,-0.0011111111111111111,-14.0625,-5.5625,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.615084,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.15,0.0,0.0,0.0,-14.0625,-5.5625,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.661809,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.03,-0.16,0.0011111111111111111,0.0022222222222222222,-0.0033333333333333335,-14.0625,-6.0,-44.75,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.704368,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.04,-0.17,0.0011111111111111111,0.0044444444444444444,-0.0044444444444444444,-14.5,-5.5625,-45.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.743526,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.0,-0.18,-0.0022222222222222222,0.0022222222222222222,-0.0011111111111111111,-13.75,-5.25,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
